,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,936105,Branta,bernicla,,birds,Brant Goose,Arjun Dutta,United Kingdom,"Great Britain (near  Wallington), Greater London, England",51.3532,-0.1461,80,nocturnal flight call,,,field recording,//xeno-canto.org/936105,https://xeno-canto.org/936105/download,XC936105-Brent-Geese-home-nocmig-18-3-21-0110.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC936105-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC936105-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC936105-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC936105-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/wave/XC936105-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/wave/XC936105-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HRVQAOEHRR/wave/XC936105-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,01:00,2021-03-18,2024-09-26,[],Slightly but minimally edited.,no,no,no,,,no,Tascam DR-05x,,44100
1,934302,Branta,bernicla,,birds,Brant Goose,Mats Olsson,Sweden,"Dalgången 23, Karlshamn, Blekinge län",,,'?',call,uncertain,uncertain,field recording,//xeno-canto.org/934302,https://xeno-canto.org/934302/download,XC934302-Prutgås-(Branta-bernicla)-flyktläte_Dalg23_2024-09-18_0530_ljudbox.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/ffts/XC934302-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/ffts/XC934302-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/ffts/XC934302-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/ffts/XC934302-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/wave/XC934302-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/wave/XC934302-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JLAUXQLBHR/wave/XC934302-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:42,05:30,2024-09-18,2024-09-18,[],,no,no,no,,,no,Wildlife Acoustics,,24000
2,906056,Branta,bernicla,,birds,Brant Goose,Juha Saari,Finland,"Pihlajamäki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,,,field recording,//xeno-canto.org/906056,https://xeno-canto.org/906056/download,XC906056-braber_202405_24_25_yom_0157V.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC906056-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC906056-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC906056-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC906056-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/wave/XC906056-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/wave/XC906056-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/wave/XC906056-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:39,01:57,2024-05-25,2024-05-25,['Luscinia luscinia'],,no,no,no,,,yes,,Telinga PRO-X,44100
3,898133,Branta,bernicla,,birds,Brant Goose,Paul Kelly,Ireland,"Tacumshin Lake (East End), County Wexford",52.1963,-6.4439,0,"call, flight call",,uncertain,field recording,//xeno-canto.org/898133,https://xeno-canto.org/898133/download,XC898133-brenttac.wav,"{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC898133-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC898133-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC898133-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC898133-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC898133-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC898133-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC898133-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:57,01:00,2024-04-20,2024-04-24,[],Flock passing over the recorder. ,no,no,no,,,yes,SM4,SM4 ,44100
4,882013,Branta,bernicla,,birds,Brant Goose,Jean COURTIN,France,"Arrondissement de Vannes (near  Sérent), Morbihan, Brittany",47.7981,-2.4738,60,"flight call, nocturnal flight call",,,field recording,//xeno-canto.org/882013,https://xeno-canto.org/882013/download,XC882013-Bernache_cravant_15032024_19h52_Serent_traite.wav,"{'small': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/ffts/XC882013-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/ffts/XC882013-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/ffts/XC882013-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/ffts/XC882013-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/wave/XC882013-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/wave/XC882013-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ENXDOTMADX/wave/XC882013-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,20:00,2024-03-15,2024-03-16,[],65 individus,yes,yes,no,,,yes,,,44100
5,880975,Branta,bernicla,hrota,birds,Brant Goose,Paul Kelly,Ireland,"Dublin, Dublin City, County Dublin",53.3615,-6.3469,50,call,uncertain,uncertain,field recording,//xeno-canto.org/880975,https://xeno-canto.org/880975/download,XC880975-brent.wav,"{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880975-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880975-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880975-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:24,15:00,2024-03-11,2024-03-11,['Alauda arvensis'],Feeding flock. All ages. ,yes,yes,no,,,yes,Dodotronic parabola. ,Tascam. ,44100
6,880974,Branta,bernicla,hrota,birds,Brant Goose,Paul Kelly,Ireland,"Dublin, Dublin City, County Dublin",53.3615,-6.3469,50,call,uncertain,uncertain,field recording,//xeno-canto.org/880974,https://xeno-canto.org/880974/download,XC880974-brent2.wav,"{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880974-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880974-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880974-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880974-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880974-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880974-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880974-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,15:00,2024-03-11,2024-03-11,['Alauda arvensis'],Feeding flock. All ages. ,yes,yes,no,,,yes,Dodotronic parabola. ,Tascam. ,44100
7,880972,Branta,bernicla,hrota,birds,Brant Goose,Paul Kelly,Ireland,"Dublin, Dublin City, County Dublin",53.3615,-6.3469,50,call,uncertain,uncertain,field recording,//xeno-canto.org/880972,https://xeno-canto.org/880972/download,XC880972-brent3.wav,"{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880972-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880972-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880972-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880972-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880972-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880972-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880972-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,15:00,2024-03-11,2024-03-11,['Alauda arvensis'],Feeding flock. All ages. ,yes,yes,no,,,yes,Dodotronic parabola. ,Tascam. ,44100
8,880971,Branta,bernicla,hrota,birds,Brant Goose,Paul Kelly,Ireland,"Dublin, Dublin City, County Dublin",53.3615,-6.3469,50,call,uncertain,uncertain,field recording,//xeno-canto.org/880971,https://xeno-canto.org/880971/download,XC880971-brent4.wav,"{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880971-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880971-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880971-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/ffts/XC880971-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880971-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880971-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WBZVBDKAUE/wave/XC880971-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,15:00,2024-03-11,2024-03-11,[],Feeding flock. All ages. ,yes,yes,no,,,yes,Dodotronic parabola. ,Tascam. ,44100
9,862637,Branta,bernicla,,birds,Brant Goose,Manuel Grosselet,France,"Goulven, Finistere, Brittany",48.6366,-4.2945,0,call,,,field recording,//xeno-canto.org/862637,https://xeno-canto.org/862637/download,XC862637-Bernache-cravant-calls-baie-de-gouleven-29-ene-18-1044-DR0000_1653.wav,"{'small': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC862637-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC862637-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC862637-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC862637-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/wave/XC862637-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/wave/XC862637-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ILUHRFXDNU/wave/XC862637-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,10:44,2024-01-18,2024-01-19,[],,yes,yes,no,,,no,tascam dr05,dodotronic,44100
10,861754,Branta,bernicla,bernicla,birds,Brant Goose,David Bissett,United Kingdom,"Chelmsford (near  South Woodham Ferrers), Essex, England",51.6317,0.6131,0,call,uncertain,adult,field recording,//xeno-canto.org/861754,https://xeno-canto.org/861754/download,XC861754-Dark-bellied-Brent-Goose.wav,"{'small': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC861754-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC861754-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC861754-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC861754-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/wave/XC861754-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/wave/XC861754-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QKELZYKUGX/wave/XC861754-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:02,09:00,2024-01-14,2024-01-14,[],About 40 or 50 birds on the water at low tide.  They can be heard calling and bathing.,yes,yes,no,,,no,Zoom F6,500mm parabolic with Pluggy XLR EM272 mic,96000
11,842561,Branta,bernicla,,birds,Brant Goose,Paul Coiffard,France,"Rochefort, Charente-Maritime, Nouvelle-Aquitaine",45.9366,-0.9616,10,"call, flight call, nocturnal flight call",,,field recording,//xeno-canto.org/842561,https://xeno-canto.org/842561/download,XC842561-Bernache-cravant-A-20231117_0140.wav,"{'small': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/ffts/XC842561-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/ffts/XC842561-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/ffts/XC842561-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/ffts/XC842561-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/wave/XC842561-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/wave/XC842561-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TLORJJUZZT/wave/XC842561-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,01:40,2023-11-17,2023-11-17,[],,no,no,no,,,yes,Audiomoth 1.2.0,2x Primo EM272 Mono,32000
